,Make,Year,Kilometer,Seating_Capacity,Fuel_Tank_Capacity,Price,Automatic,Manual,First_O,Second_O,Others_O,Petrol,Diesel,Others_F
1030,4,2016,34736,5.0,28.0,295000,0,1,1,0,0,1,0,0
1031,11,2020,14400,5.0,50.0,1750000,0,1,1,0,0,0,1,0
1032,12,2015,85000,7.0,60.0,525000,0,1,0,1,0,0,1,0
1033,8,2011,80000,5.0,35.0,275000,0,1,0,1,0,1,0,0
1034,21,2018,77590,5.0,50.0,2180000,1,0,1,0,0,1,0,0
1035,14,2017,25000,4.0,60.9,8000000,1,0,0,0,1,1,0,0
1036,24,2018,40545,5.0,82.0,4325000,1,0,1,0,0,0,1,0
1037,6,2009,80000,5.0,43.0,120000,0,1,0,0,1,0,1,0
1038,6,2009,56852,5.0,35.0,155000,0,1,0,1,0,0,0,1
1039,6,2018,42000,5.0,37.0,735000,1,0,1,0,0,1,0,0
1040,15,2018,55000,5.0,55.0,900000,1,0,0,1,0,1,0,0
1041,15,2014,53000,5.0,60.0,795000,1,0,0,1,0,1,0,0
1042,22,2018,17000,5.0,44.0,3300000,1,0,1,0,0,0,1,0
1043,17,2020,50000,7.0,80.0,3775000,1,0,1,0,0,0,1,0
1044,12,2012,70000,8.0,55.0,325000,0,1,0,0,1,0,1,0
1045,6,2017,75793,5.0,48.0,725000,0,1,1,0,0,0,1,0
1046,26,2007,34000,5.0,35.0,2100000,1,0,0,1,0,1,0,0
1047,23,2012,89311,5.0,67.5,994999,1,0,1,0,0,0,1,0
1048,6,2018,80000,5.0,48.0,785000,0,1,1,0,0,0,1,0
1049,29,2020,38000,5.0,65.0,7500000,1,0,1,0,0,1,0,0
1050,17,2019,69500,7.0,80.0,2799000,1,0,0,1,0,0,1,0
1051,6,2018,66794,5.0,35.0,390000,0,1,1,0,0,1,0,0
1052,29,2019,27000,5.0,65.0,9000000,1,0,1,0,0,1,0,0
1053,6,2017,35616,5.0,37.0,675000,1,0,1,0,0,1,0,0
1054,6,2015,64000,5.0,40.0,320000,0,1,1,0,0,1,0,0
1055,6,2020,7000,5.0,37.0,840000,1,0,1,0,0,1,0,0
1056,6,2015,45000,5.0,35.0,310000,0,1,1,0,0,1,0,0
1057,6,2017,9000,7.0,45.0,795000,0,1,1,0,0,1,0,0
1058,6,2015,67738,5.0,35.0,310000,0,1,0,1,0,0,0,1
1059,17,2021,11030,5.0,37.0,860000,0,1,1,0,0,1,0,0
1060,9,2015,49123,5.0,35.0,390000,0,1,1,0,0,1,0,0
1061,25,2012,125000,5.0,35.0,1200000,1,0,1,0,0,0,1,0
1062,6,2018,46000,5.0,42.0,520000,0,1,1,0,0,0,1,0
1063,27,2000,65000,5.0,35.0,1200000,1,0,0,1,0,1,0,0
1064,6,2018,64000,5.0,48.0,675000,0,1,1,0,0,0,1,0
1065,6,2021,7942,5.0,27.0,475000,0,1,1,0,0,1,0,0
