,Make,Year,Kilometer,Seating_Capacity,Fuel_Tank_Capacity,Price,Automatic,Manual,First_O,Second_O,Others_O,Petrol,Diesel,Others_F
824,7,2002,65494,5.0,35.0,100000,0,1,1,0,0,1,0,0
825,6,2016,53807,5.0,42.0,440000,0,1,1,0,0,1,0,0
826,6,2018,46000,5.0,43.0,721000,0,1,1,0,0,1,0,0
827,15,2018,67546,5.0,50.0,1515000,1,0,0,1,0,1,0,0
828,28,2021,14500,7.0,70.0,7000000,1,0,1,0,0,1,0,0
829,7,2018,37100,5.0,40.0,949000,0,1,1,0,0,1,0,0
830,27,2019,30000,5.0,80.0,5500000,1,0,1,0,0,0,1,0
831,4,2018,89059,5.0,28.0,319000,0,1,1,0,0,1,0,0
832,6,2013,77000,7.0,45.0,459999,0,1,0,1,0,0,1,0
833,23,2018,42000,5.0,60.0,2100000,1,0,1,0,0,0,1,0
834,6,2017,58146,5.0,37.0,685000,0,1,1,0,0,1,0,0
835,22,2020,13000,4.0,44.0,3900000,1,0,1,0,0,1,0,0
836,17,2013,75000,5.0,45.0,300000,0,1,0,1,0,0,1,0
837,29,2016,20500,5.0,35.0,6350000,1,0,1,0,0,0,1,0
838,27,2018,50500,5.0,93.0,5400000,1,0,0,0,1,0,1,0
839,27,2022,3826,5.0,43.0,4100000,1,0,0,0,1,0,1,0
840,27,2019,53000,7.0,100.0,6875000,1,0,1,0,0,0,1,0
841,9,2018,37000,5.0,55.0,1115000,0,1,0,1,0,1,0,0
842,7,2017,38000,5.0,40.0,761000,1,0,0,1,0,1,0,0
843,6,2021,8499,5.0,37.0,825000,0,1,1,0,0,1,0,0
844,9,2016,61181,5.0,45.0,650000,0,1,1,0,0,0,1,0
845,7,2017,45000,5.0,40.0,565000,0,1,1,0,0,1,0,0
846,27,2007,102000,5.0,90.0,750000,1,0,1,0,0,1,0,0
847,9,2021,9232,5.0,37.0,685000,1,0,1,0,0,1,0,0
848,6,2008,72542,5.0,35.0,135000,0,1,1,0,0,1,0,0
849,9,2018,42601,5.0,45.0,609000,0,1,1,0,0,1,0,0
850,12,2009,90000,8.0,60.0,365000,0,1,0,1,0,0,1,0
851,21,2016,65000,7.0,75.0,5175000,1,0,1,0,0,0,1,0
852,17,2018,40000,7.0,55.0,2175000,1,0,1,0,0,0,1,0
853,10,2013,106223,7.0,78.0,675000,1,0,0,1,0,0,1,0
854,25,2009,115000,5.0,85.0,1400000,1,0,0,1,0,0,1,0
855,7,2016,50000,5.0,35.0,480000,0,1,1,0,0,1,0,0
856,25,2020,30000,5.0,65.0,5800000,1,0,1,0,0,0,1,0
857,21,2018,39850,7.0,75.0,6700000,1,0,1,0,0,0,1,0
858,9,2014,80000,5.0,56.0,625000,1,0,1,0,0,0,1,0
859,18,2017,96095,7.0,65.0,1791000,1,0,1,0,0,0,1,0
860,6,2018,12768,5.0,40.0,422000,0,1,1,0,0,1,0,0
861,21,2021,12321,5.0,54.0,4200000,1,0,0,0,1,1,0,0
862,17,2018,65100,5.0,55.0,1295000,1,0,1,0,0,1,0,0
863,9,2017,30000,5.0,43.0,495000,0,1,1,0,0,1,0,0
864,11,2019,12000,5.0,35.0,585000,1,0,1,0,0,1,0,0
865,27,2019,33000,5.0,66.0,3950000,1,0,1,0,0,0,1,0
866,27,2021,13000,5.0,80.0,7475000,1,0,1,0,0,0,1,0
867,15,2013,57000,5.0,55.0,425000,1,0,0,1,0,1,0,0
868,25,2011,61000,5.0,35.0,975000,1,0,0,0,1,0,1,0
869,27,2017,48000,5.0,80.0,4150000,1,0,0,1,0,0,1,0
870,21,2012,118000,7.0,100.0,2475000,1,0,1,0,0,0,1,0
871,25,2017,44000,5.0,57.0,2990000,1,0,0,1,0,0,1,0
872,25,2015,59000,7.0,35.0,3550000,1,0,1,0,0,0,1,0
873,4,2013,99000,5.0,50.0,280000,0,1,0,1,0,0,1,0
874,27,2009,75000,5.0,90.0,1500000,1,0,0,1,0,1,0,0
875,25,2019,79000,5.0,68.0,5100000,1,0,1,0,0,0,1,0
876,17,2010,114000,7.0,80.0,825000,0,1,0,1,0,0,1,0
877,6,2014,82000,5.0,35.0,310000,0,1,1,0,0,0,0,1
878,7,2016,80000,5.0,40.0,595000,1,0,1,0,0,1,0,0
879,17,2014,65000,5.0,35.0,3100000,1,0,1,0,0,0,1,0
880,19,2017,57000,5.0,60.0,1240000,0,1,1,0,0,0,1,0
881,6,2018,26807,5.0,40.0,328000,0,1,0,1,0,1,0,0
882,9,2018,23000,5.0,40.0,625000,0,1,1,0,0,1,0,0
883,6,2015,112000,5.0,42.0,409999,0,1,1,0,0,0,1,0
884,6,2022,5000,5.0,35.0,975000,0,1,1,0,0,1,0,0
885,6,2015,70000,5.0,42.0,545000,0,1,1,0,0,1,0,0
886,8,2019,53929,5.0,45.0,699000,0,1,1,0,0,1,0,0
887,6,2014,49580,5.0,35.0,390000,0,1,1,0,0,1,0,0
888,17,2014,85000,5.0,50.0,680000,0,1,0,1,0,0,1,0
889,6,2015,61000,5.0,43.0,625000,0,1,1,0,0,0,1,0
890,6,2012,35000,5.0,28.0,235000,0,1,0,1,0,0,0,1
891,12,2016,42000,8.0,60.0,951000,0,1,1,0,0,0,1,0
892,7,2011,69000,5.0,42.0,550000,1,0,0,1,0,1,0,0
893,19,2017,70000,5.0,60.0,1350000,1,0,1,0,0,1,0,0
894,9,2013,15780,5.0,35.0,325000,0,1,1,0,0,1,0,0
895,21,2012,40031,5.0,35.0,1150000,1,0,0,1,0,0,1,0
896,21,2015,46000,7.0,100.0,2600000,1,0,1,0,0,0,1,0
897,6,2016,50800,5.0,43.0,640000,0,1,1,0,0,1,0,0
898,11,2021,3000,5.0,35.0,1250000,1,0,1,0,0,0,0,1
899,17,2011,95000,5.0,55.0,450000,1,0,1,0,0,1,0,0
900,25,2010,112000,5.0,70.0,750000,1,0,0,1,0,0,1,0
901,21,2020,36000,5.0,73.0,5300000,1,0,1,0,0,1,0,0
902,23,2019,3500,5.0,71.0,5800000,1,0,1,0,0,0,1,0
903,6,2018,30000,5.0,48.0,801000,0,1,1,0,0,0,1,0
904,8,2009,107879,5.0,35.0,310000,0,1,0,1,0,0,1,0
905,12,2017,19000,8.0,60.0,1090000,0,1,1,0,0,0,1,0
906,6,2014,31100,5.0,35.0,245000,0,1,0,1,0,1,0,0
907,7,2014,65000,5.0,35.0,475000,0,1,0,1,0,1,0,0
908,17,2017,49000,7.0,80.0,2800000,1,0,0,1,0,0,1,0
909,11,2022,5000,5.0,35.0,1450000,1,0,1,0,0,0,0,1
910,21,2020,11000,5.0,50.0,2950000,1,0,1,0,0,0,1,0
911,9,2019,28000,5.0,43.0,545000,0,1,1,0,0,1,0,0
912,14,2021,9400,7.0,80.0,3975000,1,0,1,0,0,0,1,0
913,27,2017,77000,5.0,66.0,4200000,1,0,1,0,0,0,1,0
914,9,2017,27000,5.0,43.0,434999,0,1,0,1,0,0,1,0
915,4,2017,15507,5.0,28.0,315000,0,1,1,0,0,1,0,0
916,10,2016,70000,7.0,78.0,900000,0,1,0,1,0,0,1,0
917,7,2015,44000,5.0,40.0,550000,0,1,1,0,0,1,0,0
918,25,2018,70000,5.0,67.0,4400000,1,0,1,0,0,0,1,0
919,17,2015,145000,7.0,80.0,1600000,1,0,0,1,0,0,1,0
920,1,2017,24000,5.0,28.0,198000,0,1,1,0,0,1,0,0
921,9,2014,47721,5.0,35.0,225000,0,1,1,0,0,0,0,1
922,9,2011,26000,5.0,45.0,310000,1,0,1,0,0,1,0,0
923,4,2017,15507,5.0,28.0,315000,0,1,1,0,0,1,0,0
924,7,2018,39000,5.0,40.0,775000,0,1,0,1,0,1,0,0
925,6,2017,58000,5.0,37.0,625000,1,0,1,0,0,1,0,0
926,9,2015,82000,5.0,60.0,775000,0,1,0,1,0,0,1,0
927,17,2018,95315,7.0,55.0,1549000,0,1,0,1,0,0,1,0
928,25,2016,46000,5.0,57.0,1679000,1,0,0,1,0,0,1,0
929,6,2019,11874,5.0,37.0,725000,1,0,1,0,0,1,0,0
930,9,2014,86000,5.0,43.0,540000,0,1,1,0,0,0,1,0
931,8,2014,111000,5.0,45.0,350000,0,1,0,1,0,0,1,0
932,23,2015,50000,5.0,60.0,1689999,1,0,0,1,0,0,1,0
933,5,2021,28000,5.0,40.0,625000,0,1,1,0,0,1,0,0
934,6,2019,25000,5.0,35.0,475000,0,1,1,0,0,1,0,0
935,16,2021,12000,5.0,50.0,1650000,0,1,1,0,0,0,1,0
936,9,2019,32000,5.0,35.0,409999,0,1,1,0,0,1,0,0
937,9,2011,45000,5.0,35.0,275000,0,1,1,0,0,1,0,0
938,28,2014,70000,5.0,77.0,5900000,1,0,1,0,0,0,1,0
939,17,2017,112000,7.0,55.0,2100000,0,1,1,0,0,0,1,0
940,25,2017,51800,5.0,65.0,2750000,1,0,0,1,0,0,1,0
941,6,2017,22000,5.0,32.0,545000,1,0,1,0,0,1,0,0
942,11,2015,155000,7.0,55.0,740000,0,1,1,0,0,0,1,0
943,27,2016,60000,5.0,80.0,2400000,1,0,0,1,0,1,0,0
944,25,2018,23000,5.0,65.0,4500000,1,0,1,0,0,0,1,0
945,6,2014,75000,5.0,42.0,465000,0,1,1,0,0,1,0,0
946,2,2014,71000,5.0,45.0,375000,0,1,1,0,0,0,1,0
947,21,2017,64000,5.0,64.0,2900000,1,0,1,0,0,0,1,0
948,7,2018,45326,5.0,40.0,795000,0,1,1,0,0,1,0,0
